case_id,activity_name,timestamp,resource,team,priority,status
T014,Closed,2024-02-21 09:00:00,System,L2 Support,high,closed
T015,Ticket Created,2024-02-21 08:00:00,Portal,L1 Support,medium,open
T015,Assigned,2024-02-21 08:10:00,Alice,L1 Support,medium,assigned
T015,Under Investigation,2024-02-21 08:40:00,Alice,L1 Support,medium,in_progress
T015,Resolved,2024-02-21 10:00:00,Alice,L1 Support,medium,resolved
T015,Closed,2024-02-21 17:00:00,System,L1 Support,medium,closed
T016,Ticket Created,2024-02-22 10:00:00,Phone,L1 Support,low,open
T016,Assigned,2024-02-22 10:15:00,Bob,L1 Support,low,assigned
T016,Under Investigation,2024-02-22 10:45:00,Bob,L1 Support,low,in_progress
T016,Resolved,2024-02-22 12:00:00,Bob,L1 Support,low,resolved
T016,Closed,2024-02-22 17:00:00,System,L1 Support,low,closed
T017,Ticket Created,2024-02-26 09:30:00,Email,L1 Support,medium,open
T017,Assigned,2024-02-26 09:45:00,Dave,L1 Support,medium,assigned
T017,Under Investigation,2024-02-26 10:15:00,Dave,L1 Support,medium,in_progress
T017,Escalated to L2,2024-02-26 11:30:00,Dave,L2 Support,medium,escalated
T017,Under Investigation,2024-02-26 12:00:00,Carol,L2 Support,medium,in_progress
T017,Resolved,2024-02-26 14:00:00,Carol,L2 Support,medium,resolved
T017,Closed,2024-02-27 09:00:00,System,L2 Support,medium,closed
T018,Ticket Created,2024-02-27 08:15:00,Portal,L1 Support,high,open
T018,Assigned,2024-02-27 08:25:00,Alice,L1 Support,high,assigned
T018,Under Investigation,2024-02-27 09:00:00,Alice,L1 Support,high,in_progress
T018,Resolved,2024-02-27 10:30:00,Alice,L1 Support,high,resolved
T018,Closed,2024-02-27 17:00:00,System,L1 Support,high,closed
T019,Ticket Created,2024-02-28 11:00:00,Portal,L1 Support,medium,open
T019,Assigned,2024-02-28 11:15:00,Bob,L1 Support,medium,assigned
T019,Under Investigation,2024-02-28 11:45:00,Bob,L1 Support,medium,in_progress
T019,Resolved,2024-02-28 13:30:00,Bob,L1 Support,medium,resolved
T019,Closed,2024-02-28 17:00:00,System,L1 Support,medium,closed
T020,Ticket Created,2024-03-01 09:00:00,Phone,L1 Support,critical,open
T020,Assigned,2024-03-01 09:05:00,Carol,L2 Support,critical,assigned
T020,Under Investigation,2024-03-01 09:15:00,Carol,L2 Support,critical,in_progress
T020,Escalated to L3,2024-03-01 10:00:00,Carol,L3 Support,critical,escalated
T020,Under Investigation,2024-03-01 10:15:00,Eve,L3 Support,critical,in_progress
T020,Resolved,2024-03-01 12:30:00,Eve,L3 Support,critical,resolved
T020,Closed,2024-03-04 09:00:00,System,L3 Support,critical,closed
